35.619998931884766%,
34.72999954223633%,
34.0%,
32.08000183105469%,
29.860000610351562%,

Drop Outs Complete
32.06999969482422%,
35.09000015258789%,
17.670000076293945%,
10.0%,
10.0%,
Momentums Complete

34.880001068115234%,
10.0%,
10.0%,
10.0%,
10.0%,
